"FIDE_ID","FullName","Master","FIDEName","Fed","Sex","Tit","WTit","OTit","FOA","SRtng","SGm","SK","RRtng","RGm","Rk","BRtng","BGm","BK","B-day","Flag","Country"
"1503014","Magnus Carlsen","Carlsen, M","Carlsen, Magnus","NOR","M","GM",NA,NA,NA,2835,9,10,2829,0,10,2858,0,10,1990,NA,"Norway"
"2020009","Fabiano Caruana","Caruana, F","Caruana, Fabiano","USA","M","GM",NA,NA,NA,2782,9,10,2752,0,10,2832,0,10,1992,NA,"United States of America"
"13600036","Maia Chiburdanidze","Chiburdanidze, M","Chiburdanidze, Maia","GEO","F","GM","WGM",NA,NA,2500,0,10,2432,0,10,2437,0,10,1961,"wi","Georgia"
NA,"Mikhail Chigorin","Chigorin, M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000059","Larry Christiansen","Christiansen, L","Christiansen, Larry","USA","M","GM",NA,NA,NA,2579,0,10,2584,0,10,NA,NA,NA,1956,NA,"United States of America"
"2000105","Nick DeFirmian","De Firmian, N","De Firmian, Nick","USA","M","GM",NA,NA,NA,2450,0,10,2468,0,10,NA,NA,NA,1957,NA,"United States of America"
NA,"Louis de LaBourdonnais","De Labourdonnais, L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Arnold Denker","Denker, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Ding Liren","Ding Liren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3503240","Leinier Dominguez Perez","Dominguez Perez, L","Dominguez Perez, Leinier","USA","M","GM",NA,NA,NA,2739,0,10,2706,0,10,2654,0,10,1983,NA,"United States of America"
"4100107","Alexey Dreev","Dreev, A","Dreev, Aleksey","RUS","M","GM",NA,NA,NA,2606,0,10,2557,0,10,2609,0,10,1969,NA,"Russia"
"1170546","Jan-Krzysztof Duda","Duda, J","Duda, Jan-Krzysztof","POL","M","GM",NA,NA,NA,2732,0,10,2794,0,10,2783,0,10,1998,NA,"Poland"
"2000113","Roman Dzindzichashvili","Dzindzichashvili, R","Dzindzichashvili, Roman","USA","M","GM",NA,NA,NA,2550,0,10,NA,NA,NA,NA,NA,NA,1944,"i","United States of America"
"4500016","Jaan Ehlvest","Ehlvest, J","Ehlvest, Jaan","USA","M","GM",NA,NA,NA,2530,0,10,2519,11,10,2442,11,10,1962,"i","United States of America"
"14102951","Pavel Eljanov","Eljanov, P","Eljanov, Pavel","UKR","M","GM",NA,NA,NA,2694,0,10,2649,0,10,2598,0,10,1983,NA,"Ukraine"
NA,"Max Euwe","Euwe, M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Larry Evans","Evans, L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000083","John Fedorowicz","Fedorowicz, J","Fedorowicz, John","USA","M","GM",NA,NA,NA,2388,0,10,NA,NA,NA,NA,NA,NA,1958,NA,"United States of America"
NA,"Reuben Fine","Fine, R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000261","Benjamin Finegold","Finegold, B","Finegold, Benjamin","USA","M","GM",NA,NA,NA,2400,0,10,NA,NA,NA,2501,0,10,1969,NA,"United States of America"
"12573981","Alireza Firouzja","Firouzja, A","Firouzja, Alireza","FRA","M","GM",NA,NA,NA,2777,9,10,2745,0,10,2896,0,10,2003,NA,"France"
NA,"Robert James Fischer","Fischer, R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000377","Alexander Fishbein","Fishbein, A","Fishbein, Alexander","USA","M","GM",NA,NA,NA,2363,10,10,NA,NA,NA,2403,0,10,1968,NA,"United States of America"
NA,"Salo Flohr","Flohr, S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13600125","Nona Gaprindashvili","Gaprindashvili, N","Gaprindashvili, Nona","GEO","F","GM","WGM",NA,NA,2267,9,10,2199,0,20,2168,0,20,1941,"w","Georgia"
